Año,"Hulla, Antracita y Aglomerados ",Coque de coquería ,Gas de coquería y horno alto ,Alquitranes de Carbón ,TOTAL ,GLP ,Gasolina ,Queroseno ,Gasóleo ,Fueloil ,Coque de petróleo ,Otros productos petrolíferos ,Productos petrolíferos ,Gas Natural ,Otros Gases ,TOTAL ,Residuos industriales no renovables ,RSU no renovable ,Residuos ,Solar térmica ,Geotermia ,Biomasa ,Biogás ,Biocarburantes ,RSU renovable ,TOTAL ,ENERGÍA ELÉCTRICA,TOTAL 
1990,1776,1640,673, -  ,4089,2814,8654,2207,14433, -  ,1318,94,29521,3950,279,4229,12, -  ,12, -  ,4,3899,10, -  , -  ,3913,10819,52582
1991,2163,1579,654, -  ,4396,3143,8843,2499,15261,4398,1305,125,35574,4305,251,4555,12, -  ,12, -  ,4,3657,10, -  , -  ,3671,11063,59271
1992,2053,1416,653, -  ,4122,2902,9565,2790,15832,4113,1217,149,36569,4704,193,4897,12, -  ,12, -  ,4,3329,12, -  , -  ,3345,11246,60191
1993,1180,1456,714, -  ,3349,2729,9228,2733,16086,4465,1072,91,36405,5010,164,5174,19, -  ,19, -  ,4,3336,14, -  , -  ,3354,11239,59541
1994,888,1701,490, -  ,3079,2949,9481,2905,16812,5183,1453,196,38980,5014,103,5117,23, -  ,23,24,4,3346,13, -  , -  ,3387,11779,62365
1995,576,1659,347, -  ,2581,2728,8826,3096,17975,4911,1565,130,39230,6424,69,6493,78, -  ,78,25,4,3206,21, -  , -  ,3256,12118,63757
1996,560,1408,355, -  ,2322,2901,9429,3329,19294,3290,1706,98,40048,6892,38,6930,78, -  ,78,25,4,3225,21, -  , -  ,3276,12658,65311
1997,675,1309,383, -  ,2367,2739,9344,3527,19638,3196,2493,93,41031,7742,29,7770,81, -  ,81,23,4,3239,23, -  , -  ,3288,13676,68214
1998,724,1043,379, -  ,2145,2806,9482,3752,21672,3099,2368,93,43272,8702,42,8744,81, -  ,81,25,4,3376,23, -  , -  ,3428,14205,71876
1999,743,959,225, -  ,1928,2784,9289,4095,23340,2467,2075,92,44142,9631,30,9661,81, -  ,81,28,5,3393,22, -  , -  ,3448,15244,74504
2000,873,850,236, -  ,1959,2698,8866,4386,25248,2321,2441,12,45972,11817,86,11902, -  , -  , -  ,31,5,3336,25,72, -  ,3469,16207,79511
2001,1064,850,361, -  ,2276,2531,8781,4475,26748,2183,2707,12,47437,13007,33,13040, -  , -  , -  ,36,5,3349,25,72, -  ,3486,17282,83522
2002,1001,923,350, -  ,2273,2529,8325,4301,27656,2315,2458,12,47596,13694,33,13727, -  , -  , -  ,40,5,3380,29,139, -  ,3593,17674,84863
2003,971,959,327, -  ,2257,2490,8109,4506,30073,2384,2657,12,50232,15319,34,15353, -  , -  , -  ,45,5,3385,29,191, -  ,3654,18739,90236
2004,1035,896,346, -  ,2277,2547,7747,4995,32796,1514,2753,12,52364,16369,38,16407, -  , -  , -  ,53,5,3423,29,175, -  ,3686,19838,94571
2005,1078,755,284, -  ,2116,2459,7465,5322,34245,1017,2679,12,53201,17650,42,17691, -  , -  , -  ,61,7,3440,23,258, -  ,3790,20831,97629
2006,942,746,271, -  ,1958,2264,7124,5568,33357,1953,2727,12,53006,15156,39,15194, -  , -  , -  ,73,8,3688,65,171, -  ,4005,21167,95329
2007,1161,660,291, -  ,2112,2238,6860,5857,34830,1762,2722,12,54281,15703,42,15746, -  , -  , -  ,93,9,3720,72,385, -  ,4279,21568,97986
2008,1009,640,283, -  ,1933,2157,6319,5782,32968,1693,2578,12,51510,14676,44,14720, -  , -  , -  ,125,11,3626,28,619, -  ,4409,21938,94510
2009,562,574,214,61,1410,2003,5930,5271,30590,1371,2369,12,47545,13000,39,13039, -  , -  , -  ,155,14,3707,28,1073,28,5005,20621,87620
2010,847,491,265, -  ,1603,2006,5462,5388,29988,1127,2624,12,46607,14344,33,14377, -  , -  , -  ,183,16,3651,53,1436,28,5367,21053,89007
2011,999,556,306,54,1915,1798,5080,5746,27737,1083,2374,12,43831,13998,3,14001, -  , -  , -  ,205,17,3789,55,1721,28,5815,20942,86504
2012,763,419,274,52,1507,1742,4734,5420,25473,727,1809,12,39916,14631,2,14633, -  , -  , -  ,220,18,3849,55,2127,28,6297,20661,83014
2013,790,683,259,50,1782,1479,4510,5268,25905,761,1118,12,39053,14783,1,14784, -  , -  , -  ,239,18,3744,125,909,28,5062,19787,80468
2014,807,423,224,45,1499,1415,4440,5407,25708,592,1072,7,38642,14293,0,14293, -  , -  , -  ,259,19,3734,101,963,28,5102,19513,79050
2015,840,401,228,45,1515,1457,4470,5684,27101,510,1101, -  ,40323,13218,0,13218, -  ,2,2,277,19,3925,59,980,30,5290,19955,80303
Fuente: MINETUR/IDAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
