PARQUE DE VEHÍCULOS DE GASOIL,,,,,,,
,,,,,,,
AÑOS,Camiones,Autobuses,Turismos,Motocicletas,"Tractores
Industriales","Otros
Vehículos",TOTAL
1990,1490068,44833,1220746,3337,66910,73025,2898919
1991,1615902,45650,1317475,3219,71847,82024,3136117
1992,1738671,46222,1461618,3087,75161,88545,3413304
1993,1813001,46085,1602062,2963,76011,92182,3632304
1994,1906229,46154,1806248,2831,78492,95749,3935703
1995,2020189,46435,2059126,2738,85876,101215,4315579
1996,2151426,47478,2391352,2650,92863,106950,4792719
1997,2314915,49095,2806754,2559,102276,114392,5389991
1998,2515308,50871,3368847,2498,114255,125872,6177651
1999,2746518,52610,4044419,2439,127983,141071,7115040
2000,2948837,53768,4702264,2387,140588,155667,8003511
2001,3136580,55158,5355145,2345,153504,171685,8874417
2002,3302732,55917,6003919,2308,164528,189047,9718451
2003,3439434,54975,6592444,2214,172097,204799,10465963
2004,3681015,55951,7506821,2266,182953,224894,11653900
2005,3939953,57287,8434725,2421,191810,246263,12872459
2006,4213186,59332,9380284,2024,201810,267605,14124241
2007,4463923,59764,10255430,2130,210494,291585,15283326
2008,4538399,60924,10796625,2158,211335,297538,15906979
2009,4509541,61363,11079034,2206,204847,298943,16155934
2010,4499419,61001,11466842,2213,197736,301302,16528513
2011,4476049,60669,11763255,2220,194280,309832,16806305
2012,4413826,59288,11937569,2305,185411,310601,16909000
2013,4342980,58006,12061601,2350,181344,313346,16959627
2014,4321086,58323,12325894,1655,186060,323280,17216298
