PARQUE DE VEHÍCULOS DE OTROS CARBURANTES,,,,,,,
,,,,,,,
AÑOS,"CAMIONES Y
FURGONETAS",AUTOBUSES,TURISMOS,MOTOCICLETAS,"TRACTORES
INDUSTRIALES","OTROS
VEHÍCULOS",TOTAL
2006,373,116,4842,539,24,8287,14181
2007,605,348,4421,597,24,9544,15539
2008,677,396,4130,765,23,10643,16634
2009,1239,461,3796,991,23,18863,25373
2010,1718,627,3610,1513,20,19666,27154
2011,2017,906,3877,2029,19,20040,28888
2012,2309,1096,4846,4048,30,21487,33816
2013,2621,1176,6629,5058,59,22913,38456
2014,3183,1233,7915,5761,0,26837,44929
